ID,Session,VPCode,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,O1,O2,O3,O4,O5,O6,O7,O8,O9,O10,TFPred1,TFPred2,TFPred3,TFPred4,TFPred5,TFPred6,Prediction1,Prediction2,Prediction3,Prediction4,Prediction5,Prediction6,idFinal_Questionnaire,Session,Date,VPCode,UEQS_1,UEQS_2,UEQS_3,UEQS_4,UEQS_5,UEQS_6,UEQS_7,UEQS_8,GQS_3_1,GQS_3_2,GQS_3_3,GQS_3_4,GQS_3_5,GQS_4_1,GQS_4_2,GQS_4_3,GQS_4_4,GQS_4_5,GQS_5_1,GQS_5_2,GQS_5_3,KIT_1,KIT_2,KIT_3,KIT_4,KIT_5,KIT_6,KIT_7,KIT_8,KIT_9,KIT_10,KIT_11,KUSIV3_1,KUSIV3_2,KUSIV3_3,Fun,SD_Gender,SD_Age,Notes,Date,Session,VPCode,Informing,Consent
311,0f880b854647dea0f011f559dabd991e,COUW06,2,NULL,2,2,2,NULL,3,1,4,NULL,NULL,NULL,NULL,5,NULL,3,NULL,NULL,NULL,3,1,NULL,NULL,NULL,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,5,NULL,NULL,3,2,5,NULL,NULL,4,NULL,NULL,NULL,NULL,NULL,NULL,1,1,1,0,NULL,NULL,4,3,4,4,NULL,NULL,201,0f880b854647dea0f011f559dabd991e,"2021-03-05 20:38:41",COUW06,4,6,5,3,3,2,2,3,4,4,4,3,4,4,4,4,5,3,4,2,2,3,2,2,7,3,3,1,1,2,2,1,NULL,NULL,NULL,NULL,1,21,,"2021-03-05 20:38:41",0f880b854647dea0f011f559dabd991e,COUW06,1,1
312,3a31def8814427ac3815f9c1b12dbfff,ANBE02,5,NULL,5,5,5,5,1,1,1,NULL,NULL,NULL,NULL,4,NULL,3,NULL,NULL,NULL,1,1,NULL,NULL,NULL,2,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,3,NULL,NULL,1,3,3,3,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,NULL,NULL,2,2,2,4,NULL,NULL,202,3a31def8814427ac3815f9c1b12dbfff,"2021-03-05 20:39:01",ANBE02,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2021-03-05 20:39:01",3a31def8814427ac3815f9c1b12dbfff,ANBE02,1,1
318,1f7576a701a9abfc20b632c0b64ab0f2,SORA08,4,NULL,3,NULL,4,NULL,2,4,3,NULL,NULL,NULL,NULL,5,NULL,5,NULL,NULL,NULL,1,2,NULL,NULL,NULL,5,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,4,NULL,NULL,5,2,4,NULL,NULL,5,NULL,NULL,NULL,NULL,NULL,NULL,0,1,1,1,NULL,NULL,4,3,4,4,NULL,NULL,208,1f7576a701a9abfc20b632c0b64ab0f2,"2021-03-05 21:12:01",SORA08,7,7,7,7,7,7,7,5,5,5,5,4,5,5,5,3,5,4,5,2,5,1,1,1,1,1,5,6,6,6,6,6,NULL,NULL,NULL,NULL,0,27,"Viel Erfolg ;-)","2021-03-05 21:12:01",1f7576a701a9abfc20b632c0b64ab0f2,SORA08,1,1
319,b49c357c6b8e0a5204042b01af597af8,MATH09,4,NULL,4,4,4,4,2,1,1,NULL,NULL,NULL,NULL,5,NULL,4,NULL,NULL,NULL,2,2,NULL,NULL,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,4,NULL,NULL,3,5,4,2,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0,NULL,NULL,3,3,2,3,NULL,NULL,209,b49c357c6b8e0a5204042b01af597af8,"2021-03-05 21:26:33",MATH09,4,6,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,5,1,3,2,4,3,1,1,2,2,3,4,4,1,NULL,NULL,NULL,NULL,0,27,,"2021-03-05 21:26:33",b49c357c6b8e0a5204042b01af597af8,MATH09,1,1
320,eeb3e08513eff656d203f487f40bd6fa,IRKH04,4,NULL,4,NULL,3,4,2,1,2,NULL,NULL,NULL,NULL,4,NULL,5,NULL,NULL,NULL,1,2,NULL,NULL,NULL,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,2,NULL,NULL,2,1,4,NULL,NULL,4,NULL,NULL,NULL,NULL,NULL,NULL,1,1,0,1,NULL,NULL,4,3,2,3,NULL,NULL,210,eeb3e08513eff656d203f487f40bd6fa,"2021-03-05 21:45:06",IRKH04,5,7,5,2,4,4,5,5,4,4,4,4,4,4,4,4,4,4,5,1,3,2,2,4,4,2,4,4,4,4,4,2,NULL,NULL,NULL,NULL,1,56,,"2021-03-05 21:45:06",eeb3e08513eff656d203f487f40bd6fa,IRKH04,1,1
321,21beaf34da8baac8f80f978a8f2ccf29,MAMI02,4,NULL,4,4,5,NULL,2,3,2,NULL,NULL,NULL,NULL,2,NULL,4,NULL,NULL,NULL,2,4,NULL,NULL,NULL,5,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,3,NULL,NULL,3,2,4,4,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,0,0,1,0,NULL,NULL,5,3,3,2,NULL,NULL,211,21beaf34da8baac8f80f978a8f2ccf29,"2021-03-05 22:07:09",MAMI02,4,6,3,7,4,6,4,6,4,5,5,5,5,3,3,3,3,3,5,2,3,2,2,1,1,1,1,2,2,2,4,2,NULL,NULL,NULL,NULL,1,15,"Mir gefÃ¤llt es, wie es rÃ¼ber kommt, dass der Assistent mit einem auf einer eher freundschaftlichen Ebene redet. Was mich ein wenig stÃ¶rt momentan ist zumindest beim Handy, dass man die Seite verschieben kann.","2021-03-05 22:07:09",21beaf34da8baac8f80f978a8f2ccf29,MAMI02,1,1
328,47d3a680b3f55fcd2a6c326b8b9af66f,CIAN01,4,NULL,3,4,4,4,1,2,2,NULL,NULL,NULL,NULL,3,NULL,4,NULL,NULL,NULL,2,2,NULL,NULL,NULL,4,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,3,NULL,NULL,3,3,4,NULL,NULL,4,NULL,NULL,NULL,NULL,NULL,NULL,0,1,0,0,NULL,NULL,4,3,3,3,NULL,NULL,218,47d3a680b3f55fcd2a6c326b8b9af66f,"2021-03-06 09:32:48",CIAN01,5,7,6,6,6,6,6,7,5,5,5,5,5,5,5,5,5,5,5,1,4,1,2,3,3,1,5,5,5,4,5,6,NULL,NULL,NULL,NULL,1,58,,"2021-03-06 09:32:48",47d3a680b3f55fcd2a6c326b8b9af66f,CIAN01,1,1
329,9aba1018835382a6f4cdab85759f217d,BITH05,5,NULL,4,NULL,5,NULL,4,5,1,NULL,NULL,NULL,NULL,5,NULL,5,NULL,NULL,NULL,4,2,NULL,NULL,NULL,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,5,NULL,NULL,5,4,5,5,NULL,5,NULL,NULL,NULL,NULL,NULL,NULL,1,0,1,1,NULL,NULL,5,3,3,4,NULL,NULL,219,9aba1018835382a6f4cdab85759f217d,"2021-03-06 12:48:36",BITH05,1,7,4,7,1,3,7,4,3,5,5,1,3,5,5,5,1,5,1,5,1,4,4,4,4,4,4,4,4,4,4,4,NULL,NULL,NULL,NULL,1,23,,"2021-03-06 12:48:36",9aba1018835382a6f4cdab85759f217d,BITH05,1,1
330,bbf7c5b85ec7bd5b049b04d0ec36f0df,BABA02,5,NULL,3,4,4,4,1,2,2,NULL,NULL,NULL,NULL,4,NULL,4,NULL,NULL,NULL,4,2,NULL,NULL,NULL,4,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,3,NULL,NULL,3,3,2,3,NULL,4,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,NULL,NULL,4,4,3,3,NULL,NULL,220,bbf7c5b85ec7bd5b049b04d0ec36f0df,"2021-03-06 21:20:05",BABA02,6,6,5,4,3,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,NULL,NULL,NULL,NULL,4,0,,"2021-03-06 21:20:05",bbf7c5b85ec7bd5b049b04d0ec36f0df,BABA02,1,1
333,6b6781028201b139287c0351983a76ac,MABE07,3,NULL,5,4,4,4,3,3,1,NULL,NULL,NULL,NULL,4,NULL,3,NULL,NULL,NULL,2,2,NULL,NULL,NULL,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,4,NULL,NULL,5,4,3,NULL,NULL,5,NULL,NULL,NULL,NULL,NULL,NULL,1,1,0,0,NULL,NULL,4,3,3,3,NULL,NULL,223,6b6781028201b139287c0351983a76ac,"2021-03-07 21:39:35",MABE07,4,5,4,5,4,4,4,6,5,5,5,5,5,5,5,4,5,5,3,4,3,3,2,3,2,1,4,4,4,4,4,5,NULL,NULL,NULL,NULL,0,22,,"2021-03-07 21:39:35",6b6781028201b139287c0351983a76ac,MABE07,1,1
340,ea62b98422222f47dc5c194a8d77bb33,KATH05,5,NULL,5,5,5,5,1,3,1,NULL,NULL,NULL,NULL,4,NULL,3,NULL,NULL,NULL,4,3,NULL,NULL,NULL,1,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,5,NULL,NULL,4,5,5,NULL,NULL,5,NULL,NULL,NULL,NULL,NULL,NULL,0,1,0,0,NULL,NULL,2,3,3,4,NULL,NULL,230,ea62b98422222f47dc5c194a8d77bb33,"2021-03-08 10:44:48",KATH05,6,5,4,5,7,7,6,5,5,5,5,3,5,4,4,4,4,4,1,4,2,2,3,3,5,3,3,4,5,5,3,2,NULL,NULL,NULL,NULL,1,20,,"2021-03-08 10:44:48",ea62b98422222f47dc5c194a8d77bb33,KATH05,1,1
341,39030ed0c503544715983f7314d29fd4,BITH05,3,NULL,5,NULL,5,5,2,3,2,NULL,NULL,NULL,NULL,3,NULL,4,NULL,NULL,NULL,1,3,NULL,NULL,NULL,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,1,NULL,NULL,1,3,4,4,NULL,4,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,1,NULL,NULL,4,3,3,3,NULL,NULL,231,39030ed0c503544715983f7314d29fd4,"2021-03-08 10:56:52",BITH05,7,7,7,7,7,7,7,7,4,4,5,5,4,3,3,4,4,4,1,1,1,3,4,4,5,5,4,2,2,4,4,2,NULL,NULL,NULL,NULL,1,30,"Welche spÃ¤tere EinsatzmÃ¶glichkeit soll der persÃ¶nliche Assistent bezwecken? Welche Entscheidungen werden getroffen aus den Ergebnissen des Assistenten? Ein schÃ¶neres Bild fÃ¼r den Assistenten wÃ¤re cool. ","2021-03-08 10:56:51",39030ed0c503544715983f7314d29fd4,BITH05,1,1
353,a38bc75e63fc102545bf6e7cf8ea326d,ANDI09,4,NULL,4,4,5,4,2,2,2,NULL,NULL,NULL,NULL,5,NULL,2,NULL,NULL,NULL,3,2,NULL,NULL,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,3,NULL,NULL,3,3,4,NULL,NULL,5,NULL,NULL,NULL,NULL,NULL,NULL,1,1,0,0,NULL,NULL,3,3,3,3,NULL,NULL,243,a38bc75e63fc102545bf6e7cf8ea326d,"2021-03-11 10:50:23",ANDI09,5,6,4,5,3,3,3,3,4,4,4,4,4,3,3,5,3,3,5,1,1,2,5,5,4,2,4,3,3,3,3,4,NULL,NULL,NULL,NULL,1,25,,"2021-03-11 10:50:23",a38bc75e63fc102545bf6e7cf8ea326d,ANDI09,1,1
354,093e0f7e5833a1a3706399036273bf4e,,3,3,3,3,3,3,3,3,3,3,3,NULL,NULL,3,3,3,NULL,3,NULL,3,3,NULL,NULL,3,3,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,3,NULL,NULL,3,3,3,3,NULL,3,NULL,NULL,NULL,3,NULL,NULL,1,0,0,0,0,0,3,3,3,3,3,3,244,093e0f7e5833a1a3706399036273bf4e,"2021-03-16 22:57:18",,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,NULL,NULL,NULL,5,4,0,,"2021-03-16 22:57:17",093e0f7e5833a1a3706399036273bf4e,,1,1
355,63759bfa2a0aef1b3d0c07d5b3da61b3,,3,3,3,NULL,3,NULL,3,3,3,3,3,NULL,NULL,3,3,3,NULL,NULL,NULL,3,3,NULL,NULL,3,3,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,3,NULL,NULL,3,3,3,NULL,NULL,3,NULL,NULL,NULL,3,NULL,NULL,1,1,1,1,1,1,3,3,3,3,3,3,245,63759bfa2a0aef1b3d0c07d5b3da61b3,"2021-03-16 23:01:15",,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,NULL,NULL,NULL,5,4,0,NULL,"2021-03-16 23:01:15",63759bfa2a0aef1b3d0c07d5b3da61b3,,1,1
356,133cd2f1a89eaccd9d870a103d8b5fe6,,4,NULL,4,NULL,4,4,2,3,2,NULL,NULL,NULL,NULL,4,NULL,4,NULL,NULL,NULL,2,2,NULL,NULL,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,5,NULL,NULL,5,4,4,NULL,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,1,1,0,1,NULL,NULL,3,3,3,3,NULL,NULL,246,133cd2f1a89eaccd9d870a103d8b5fe6,"2021-04-05 15:18:59",,4,4,5,2,4,4,2,2,4,4,5,5,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2021-04-05 15:18:58",133cd2f1a89eaccd9d870a103d8b5fe6,,1,1
357,c9f307eeb82b084a9f15a506edca25cc,,3,3,3,NULL,3,NULL,3,3,3,3,3,NULL,NULL,3,3,3,NULL,NULL,NULL,3,3,NULL,NULL,3,3,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,3,NULL,NULL,3,3,3,NULL,NULL,3,NULL,NULL,NULL,3,NULL,NULL,1,1,1,1,1,1,3,3,3,3,3,3,247,c9f307eeb82b084a9f15a506edca25cc,"2021-04-07 11:54:17",,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,NULL,NULL,NULL,NULL,4,0,NULL,"2021-04-07 11:54:17",c9f307eeb82b084a9f15a506edca25cc,,1,1
358,1147a0d655918e717698eb9fba357d30,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,248,1147a0d655918e717698eb9fba357d30,"2021-04-07 14:03:31",,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2021-04-07 14:03:31",1147a0d655918e717698eb9fba357d30,,1,1
359,20453d620fb4559d6ee4bb8afb6abc7e,BITH05,5,4,4,NULL,4,NULL,2,2,2,2,4,NULL,NULL,4,4,4,NULL,NULL,NULL,3,3,NULL,NULL,4,3,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,2,NULL,NULL,2,2,3,NULL,NULL,4,NULL,NULL,NULL,3,NULL,NULL,1,1,1,1,1,1,3,4,3,3,3,3,249,20453d620fb4559d6ee4bb8afb6abc7e,"2021-04-07 14:08:44",BITH05,3,5,4,7,4,2,3,4,3,4,5,5,5,3,3,3,3,3,3,3,2,3,5,4,5,3,4,5,5,4,4,3,NULL,NULL,NULL,NULL,0,28,NULL,"2021-04-07 14:08:44",20453d620fb4559d6ee4bb8afb6abc7e,BITH05,1,1
360,8e3db1bd6e1bdf4cc08c6d5b8bceae4d,SAVO02,4,5,3,4,5,4,2,2,2,1,3,NULL,NULL,4,3,5,NULL,2,NULL,3,3,NULL,NULL,3,3,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,4,NULL,NULL,4,2,3,2,NULL,4,NULL,NULL,NULL,2,NULL,NULL,1,0,0,0,0,0,3,3,3,3,3,3,250,8e3db1bd6e1bdf4cc08c6d5b8bceae4d,"2021-04-07 14:08:59",SAVO02,4,3,5,2,6,6,6,6,5,5,5,5,5,4,5,4,4,4,1,5,2,5,6,5,5,3,5,4,3,3,3,3,NULL,NULL,NULL,2,0,33,NULL,"2021-04-07 14:08:59",8e3db1bd6e1bdf4cc08c6d5b8bceae4d,SAVO02,1,1
361,3a80d4a281d8e382e029c7210482db23,BITH05,3,2,2,1,3,NULL,3,2,2,4,3,NULL,NULL,5,4,3,NULL,4,NULL,2,1,NULL,NULL,2,4,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,2,NULL,NULL,2,3,5,2,NULL,4,NULL,NULL,NULL,4,NULL,NULL,1,0,1,0,0,0,3,3,2,3,2,4,251,3a80d4a281d8e382e029c7210482db23,"2021-04-07 14:19:16",BITH05,6,5,3,5,2,3,6,7,4,4,5,4,4,4,3,2,3,3,4,4,4,3,3,2,6,6,3,1,2,3,3,1,NULL,NULL,NULL,2,1,21,NULL,"2021-04-07 14:19:16",3a80d4a281d8e382e029c7210482db23,BITH05,1,1
